Year,Team cat,place,Name,Nameabb,Point
2010,Small Team,1,Technique and Training,TNT-NE,588
2010,Small Team,2,Western Waterhorses,WMW-NE,418
2010,Small Team,3,Adirondack Athletic Club,AAC-NE,342
2010,Small Team,4,University Club of Boston,UCLUB-NE,310
2010,Small Team,5,Martha's Vineyard Masters,MVM-NE,307
2010,Small Team,6,North Suburban YMCA,NSY-NE,259
2010,Small Team,7,Concord YMCA,CONC-NE,181
2010,Small Team,8,South Shore YMCA,SOSHY-NE,124
2010,Small Team,9,Lowell YMCA,LOWY-NE,87.5
2010,Small Team,10,Boston YMCA (Central Branch),BOSY-NE,74
2010,Squad,1,Stowe Masters,STOWE-NE,326
2010,Squad,2,Bluefish Masters,ABF-NE,182
2010,Squad,3,Metrowest YMCA Tsunami,MWYT-NE,157.5
2010,Squad,4,Smith College,SMITH-NE,155
2010,Squad,5,Greendale YMCA,GDYM-NE,146
2010,Squad,6,Healthpoint,HLPT-NE,111
2010,Squad,7,Hockomock YMCA,HOCK-NE,99
2010,Squad,8,Westboro Tennis & Swim,WTS-NE,84
2010,Squad,9,West Suburban YMCA,WSUBY-NE,77
2010,Squad,10,Striar Masters Swimming,SMS-NE,76
2010,Squad,11,JCC North Shore,JCCNS-NE,68
2010,Squad,12,East Lyme Masters,ELM-NE,64
2010,Squad,13,Babson College,BABSN-NE,63
2010,Squad,14,UMass Amherst,UMASS-NE,47
2010,Squad,14,Allston-Brighton YMCA,ALBRY-NE,47
2010,Squad,16,JCC Newton Masters,JCCNM-NE,46
2010,Squad,16,Burbank/Reading YMCA,BRY-NE,46
2010,Squad,18,Kingsbury Club,KINGS-NE,39
2010,Squad,19,Duxbury (Percy Walker),DUX-NE,24
2010,Squad,20,Boston Sports Club Wellesley,BSCW-NE,17
2010,Squad,21,Tri-Y,TRIY-NE,12
2010,Squad,22,Simmons College,SIMM-NE,8
2010,Squad,23,Southern Vermont Stingrays,SVTS-NE,3
2009,USMS Club,1,Maine Masters Swim Club,MESC,7295
2009,USMS Club,2,Red Tide of NYC,REDT,4715.5
2009,USMS Club,3,Great Bay Masters,GBM,1657
2009,USMS Club,4,FISH Masters,FISH,938
2009,USMS Club,5,Westchester Masters,WM,747.5
2009,USMS Club,6,Bearcat Masters,BCTM,732
2009,USMS Club,7,Adirondack Masters,ADMS,561
2009,USMS Club,8,Connecticut Masters,CONN,372
2009,USMS Club,9,West Side Swim Club,WSSC,229
2009,USMS Club,10,Missouri Valley,MOVY,173
2009,USMS Club,11,Pacific Northwest Aquatics,PNA,95
2009,USMS Club,12,Jersey Area Multisport,JAM,93
2009,USMS Club,13,DC Aquatics Club,DCAC,77
2009,USMS Club,14,Team New York Aquatics,TNYA,62
2009,USMS Club,15,Garden State Masters,GSM,61
2009,USMS Club,16,Atlanta Water Jocks,AWJ,58
2009,USMS Club,17,Niagara District Masters,NIAG,53
2009,USMS Club,18,SwimQuest Masters,SQST,43
2009,USMS Club,19,Metro Masters Swim Club,METR,32.5
2009,USMS Club,20,Reston Masters Swim Team,RMST,2
2009,Large Team,1,Cambridge Masters Swim Club,CMSC,5610
2009,Large Team,2,Minuteman Andover Masters,MAMA,5377.5
2009,Large Team,3,YMCA of the North Shore,YNS,2093
2009,Large Team,4,Boston College,BC,1928.5
2009,Large Team,5,ABC Masters - Gray Sharks,ABC,1801
2009,Large Team,6,Swim Rhode Island,SWMRI,1310.5
2009,Large Team,7,Liquid Assets,LANES,886
2009,Medium Team,1,South County YMCA,SOCOY,1614
2009,Medium Team,2,Cape Cod Masters,CCM,1534
2009,Medium Team,3,Boston University Masters,BUMS,943.5
2009,Medium Team,4,UV Rays,UVRAY,915
2009,Medium Team,5,North Suburban YMCA,NSY,857
2009,Medium Team,6,Jumbo Aquatics,JMBO,662
2009,Medium Team,7,Greenwood Masters,GWDM,655
2009,Medium Team,8,MIT,MIT,642.5
2009,Medium Team,9,Granite State Penguins,GSP,564
2009,Small Team,1,Western Waterhorses,WMW,857
2009,Small Team,2,Middlebury Muffintops,MIDD,505
2009,Small Team,3,Technique and Training,TNT,477
2009,Small Team,4,Adirondack Athletic Club,AAC,271
2009,Small Team,5,Mansion House Masters,MHM,255
2009,Small Team,6,South Shore YMCA,SOSHY,218.5
2009,Small Team,7,Tri-Y,TRIY,130.5
2009,Small Team,8,Boston YMCA (Central Branch),BOSY,82
2009,Small Team,9,Bernal's Gators Masters,BGSC,70
2009,Small Team,10,Duxbury (Percy Walker),DUX,62
2009,Small Team,11,University Club of Boston,UCLUB,53
2009,Squad,1,JCC North Shore,JCCNS,221
2009,Squad,2,Westboro Tennis & Swim,WTS,133
2009,Squad,3,Concord YMCA,CONC,122
2009,Squad,4,East Lyme Masters,ELM,99
2009,Squad,5,Hockomock YMCA,HOCK,95
2009,Squad,6,Greendale YMCA,GDYM,83
2009,Squad,7,Southern Vermont Stingrays,SVTS,82
2009,Squad,8,Keene Swim Masters,KEENE,51
2009,Squad,8,Allston-Brighton YMCA,ALBRY,51
2009,Squad,10,Smith College,SMITH,32
2009,Squad,11,Boston Sports Club Wellesley,BSCW,27
2009,Squad,12,Burbank/Reading YMCA,BRY,21.5
2009,Squad,13,UMass Amherst,UMASS,17
2009,Squad,14,Kingsbury Club,KINGS,7
2016,Large Team,1,Swim Rhode Island,SWMR-NE,7431.5
2016,Large Team,2,Cambridge Masters Swim Club,CMSC-NE,7425.5
2016,Large Team,3,Worcester Area Masters,WAM-NE,3442.5
2016,Large Team,4,Maine Masters Swim Club,MESC-NE,2759
2016,Large Team,5,Great Bay Masters,GBM-NE,2391
2016,Large Team,6,Minuteman Masters Swim Club,MAMA-NE,1640
2016,Large Team,7,ABC Masters - Gray Sharks,ABC-NE,1049.5
2016,Medium Team,1,Granite State Penguins,GSP-NE,2254.5
2016,Medium Team,2,Greenwood Masters,GWDM-NE,1792.5
2016,Medium Team,3,Nutmeg Masters,NMEG-NE,1706
2016,Medium Team,4,Bearcat Masters,BCTM-MR,1414
2016,Medium Team,5,Connecticut Masters,CONN-CT,1064
2016,Medium Team,6,Boston University Masters,BUMS-NE,970
2016,Medium Team,7,North Suburban YMCA Masters,NSY-NE,699
2016,Medium Team,8,YMCA of the North Shore,YNS-NE,460
2016,Medium Team,9,Liquid Assets New England Swim,LANE-NE,427.5
2016,Medium Team,10,University Club of Boston,UCLB-NE,370
2016,Small Team,1,Weymouth Club Masters Swimming,WCMS-NE,898.5
2016,Small Team,2,Martha's Vineyard Masters,MVM-NE,615
2016,Small Team,3,Flaherty Masters,FLA-NE,484
2016,Small Team,4,Tech Masters,MIT-NE,449
2016,Small Team,5,Burlington Area Sink Swim,BASS-NE,398
2016,Small Team,6,Simon's Rock Pace Makers,SRPM-NE,327
2016,Small Team,7,Westchester Masters,WM-MR,305
2016,Small Team,8,Red Tide,REDT-MR,288
2016,Small Team,9,Adirondack Masters,ADMS-AD,277
2016,Small Team,10,Waltham YMCA,WALT-NE,251
2016,Small Team,11,Newburyport Breakers,NBPB-NE,185
2016,Small Team,12,Andover North Andover YMCA,ANA-NE,171
2016,Small Team,13,Technique and Training,TNT-NE,133
2016,Small Team,14,Asphalt Green Masters,AGUA-MR,131
2016,Small Team,15,Menlo Masters Aka Team Sheeper,MELO-PC,121
